Year,Male Members,Female Members,Total Members,Percent Male Members,Percent Female Members,Male Cardholders,Female Cardholders,Total Cardholders,Percent Male Cardholders,Percent Female Cardholders,Male: Card Holders/ Members ,Female: Card Holders/ Membership,Total: Card Holders/ Membership,ROG Memb Male,ROG Memb Female,ROG Memb Total,ROG Card Male,ROG Card Female,ROG Card Total
2010,"2,886",284,"3,170",0.91041,0.08959,"2,791",272,"3,063",0.9112,0.0888,0.96708,0.95775,0.96625,,,,,,
2011,"2,638",488,"3,126",0.84389,0.15611,"2,523",465,"2,988",0.84438,0.15562,0.95641,0.95287,0.95585,0.91407,1.71831,0.98612,0.90398,1.70956,0.97551
2012,"1,972",335,"2,307",0.85479,0.14521,"1,853",314,"2,167",0.8551,0.1449,0.93966,0.93731,0.93932,0.74754,0.68648,0.738,0.73444,0.67527,0.72523
2013,"1,748",349,"2,097",0.83357,0.16643,"1,592",321,"1,913",0.8322,0.1678,0.91076,0.91977,0.91226,0.88641,1.04179,0.90897,0.85915,1.02229,0.88279
2014,"2,749",582,"3,331",0.82528,0.17472,"2,316",469,"2,785",0.8316,0.1684,0.84249,0.80584,0.83609,1.57265,1.66762,1.58846,1.45477,1.46106,1.45583
2015,"2,691",565,"3,256",0.82647,0.17353,"2,320",471,"2,791",0.83124,0.16876,0.86213,0.83363,0.85719,0.9789,0.97079,0.97748,1.00173,1.00426,1.00215
2016,"4,182",721,"4,903",0.85295,0.14705,"3,353",545,"3,898",0.86018,0.13982,0.80177,0.75589,0.79502,1.55407,1.27611,1.50584,1.44526,1.15711,1.39663
2017,"7,321","1,229","8,550",0.85626,0.14374,"4,786",768,"5,554",0.86172,0.13828,0.65374,0.6249,0.64959,1.7506,1.70458,1.74383,1.42738,1.40917,1.42483
