Year,Local in Tons,Import in Tons,Difference in Tons,Total in Tons,Local Percent,Import Percent,CIF Value per Kilo in Rial,ROG Local,ROG Import
2010,18,2964,-2946,2982,0.00604,0.99396,28175,,
2011,569,3560,-2991,4129,0.13781,0.86219,40186,31.61111111,1.201079622
2012,2902,3742,-840,6644,0.43679,0.56321,61979,5.100175747,1.051123596
2013,6334,3607,2727,9941,0.63716,0.36284,90575,2.182632667,0.963923036
2014,5784,4984,800,10768,0.53715,0.46285,114595,0.913167035,1.381757693
2015,5287,4522,765,9809,0.53899,0.46101,133754,0.914073306,0.907303371
2016,4983,3916,1067,8899,0.55995,0.44005,127465,0.942500473,0.865988501
2017,5197,4375,822,9572,0.54294,0.45706,205316,1.042946016,1.11721144
