Year,Local in Tons,Import in Tons,Difference in Tons,Total in Tons,Local Percent,Import Percent,CIF Value per Kilo in Rial,ROG Local,ROG Import
2010,NA,8752,-8752,8752,0,1,13718.52131,,
2011,7860,7880,-20,15740,0.49936,0.50064,18014.72839,,0.900365631
2012,18282,8103,10179,26385,0.69289,0.30711,20286.79433,2.325954198,1.028299492
2013,56433,11126,45307,67559,0.83531,0.16469,32645.45428,3.086806695,1.373071702
2014,49892,7636,42256,57528,0.86726,0.13274,46256.29904,0.884092641,0.686320331
2015,52462,9477,42985,61939,0.84699,0.15301,37886.54126,1.051511264,1.241094814
2016,73188,11111,62077,84299,0.8682,0.1318,41118.49399,1.395066906,1.172417432
2017,59287,13354,45933,72641,0.81616,0.18384,51877.00702,0.810064491,1.201872019
